"term","estimate","ci","estimate_exp","ci_exp","p.value","site","wf_subset_var","wf_subset_val"
"pm25_iqr",0.0785798705301789,"(0.0305, 0.1267)",1.08174975163815,"(1.031, 1.135)",0.00136729092033269,"LEFT","popwf_3cat","0"
"pm25_iqr",0.00511164520983566,"(-0.023, 0.0332)",1.00512473195698,"(0.977, 1.034)",0.721432006843816,"LEFT","popwf_3cat","1"
"pm25_iqr",0.105708837161537,"(-0.0469, 0.2583)",1.11149820241632,"(0.954, 1.295)",0.174474289347442,"LEFT","popwf_3cat","2"
"pm25_iqr",0.0785798705301789,"(0.0305, 0.1267)",1.08174975163815,"(1.031, 1.135)",0.00136729092033269,"LEFT","popwf_4cat","0"
"pm25_iqr",0.0436353788192733,"(0.0076, 0.0797)",1.0446014016444,"(1.008, 1.083)",0.017697508227832,"LEFT","popwf_4cat","1"
"pm25_iqr",-0.0663306498387865,"(-0.1417, 0.009)",0.935821383939892,"(0.868, 1.009)",0.0845442171391658,"LEFT","popwf_4cat","2"
"pm25_iqr",0.18471937746064,"(-0.0666, 0.436)",1.20288083728532,"(0.936, 1.547)",0.149639199370278,"LEFT","popwf_4cat","3"
"pm25_iqr",0.0785798705301789,"(0.0305, 0.1267)",1.08174975163815,"(1.031, 1.135)",0.00136729092033269,"LEFT","numwf_3cat","0"
"pm25_iqr",0.0430729331877662,"(-0.0131, 0.0992)",1.04401403534566,"(0.987, 1.104)",0.132652653935964,"LEFT","numwf_3cat","1"
"pm25_iqr",-0.0146014629569937,"(-0.0489, 0.0197)",0.985504621446435,"(0.952, 1.02)",0.404225333045726,"LEFT","numwf_3cat","2"
"pm25_iqr",0.0785798705301789,"(0.0305, 0.1267)",1.08174975163815,"(1.031, 1.135)",0.00136729092033269,"LEFT","numwf_4cat","0"
"pm25_iqr",0.0715508005073394,"(-0.0191, 0.1622)",1.07417271783432,"(0.981, 1.176)",0.121754860305193,"LEFT","numwf_4cat","1"
"pm25_iqr",0.0591158231406666,"(0.0106, 0.1077)",1.06089811017551,"(1.011, 1.114)",0.0169772440344191,"LEFT","numwf_4cat","2"
"pm25_iqr",-0.0526894015614169,"(-0.1162, 0.0108)",0.948674623583864,"(0.89, 1.011)",0.10404748966197,"LEFT","numwf_4cat","3"
"pm25_iqr",0.0785798705301789,"(0.0305, 0.1267)",1.08174975163815,"(1.031, 1.135)",0.00136729092033269,"LEFT","areawf_3cat","0"
"pm25_iqr",0.0362254161483929,"(-0.0154, 0.0879)",1.03688955179853,"(0.985, 1.092)",0.169112527743955,"LEFT","areawf_3cat","1"
"pm25_iqr",-0.0219231333138329,"(-0.0561, 0.0122)",0.978315432026388,"(0.945, 1.012)",0.208569017987868,"LEFT","areawf_3cat","2"
"pm25_iqr",0.0785798705301789,"(0.0305, 0.1267)",1.08174975163815,"(1.031, 1.135)",0.00136729092033269,"LEFT","areawf_4cat","0"
"pm25_iqr",0.085520644501725,"(-0.0137, 0.1847)",1.08928404883837,"(0.986, 1.203)",0.0910221066849103,"LEFT","areawf_4cat","1"
"pm25_iqr",-0.00887696347042108,"(-0.0597, 0.0419)",0.991162320443247,"(0.942, 1.043)",0.731867604594971,"LEFT","areawf_4cat","2"
"pm25_iqr",-0.0109853770443705,"(-0.0538, 0.0318)",0.989074741865686,"(0.948, 1.032)",0.614841142787331,"LEFT","areawf_4cat","3"
"pm25_iqr",0.0350641527585518,"(-0.0114, 0.0815)",1.03568614879188,"(0.989, 1.085)",0.138766477984957,"RIGHT","popwf_3cat","0"
"pm25_iqr",-0.0174314392136594,"(-0.0466, 0.0118)",0.982719609384621,"(0.954, 1.012)",0.242159481482974,"RIGHT","popwf_3cat","1"
"pm25_iqr",0.146475324082814,"(-0.001, 0.294)",1.15774636201263,"(0.999, 1.342)",0.0516151738068842,"RIGHT","popwf_3cat","2"
"pm25_iqr",0.0350641527585518,"(-0.0114, 0.0815)",1.03568614879188,"(0.989, 1.085)",0.138766477984957,"RIGHT","popwf_4cat","0"
"pm25_iqr",0.0114778697225128,"(-0.0248, 0.0477)",1.01154399321264,"(0.976, 1.049)",0.534936302421925,"RIGHT","popwf_4cat","1"
"pm25_iqr",-0.054961806331952,"(-0.1273, 0.0174)",0.946521298383391,"(0.88, 1.018)",0.136450811789191,"RIGHT","popwf_4cat","2"
"pm25_iqr",0.18607921529561,"(-0.0454, 0.4175)",1.20451767282204,"(0.956, 1.518)",0.115056103181227,"RIGHT","popwf_4cat","3"
"pm25_iqr",0.0350641527585518,"(-0.0114, 0.0815)",1.03568614879188,"(0.989, 1.085)",0.138766477984957,"RIGHT","numwf_3cat","0"
"pm25_iqr",0.0157796763398021,"(-0.0419, 0.0735)",1.0159048328758,"(0.959, 1.076)",0.592030774818332,"RIGHT","numwf_3cat","1"
"pm25_iqr",-0.0144298198033909,"(-0.05, 0.0212)",0.98567379108554,"(0.951, 1.021)",0.427169638666072,"RIGHT","numwf_3cat","2"
"pm25_iqr",0.0350641527585518,"(-0.0114, 0.0815)",1.03568614879188,"(0.989, 1.085)",0.138766477984957,"RIGHT","numwf_4cat","0"
"pm25_iqr",0.121551781019773,"(0.0355, 0.2076)",1.1292478380159,"(1.036, 1.231)",0.0056272811152303,"RIGHT","numwf_4cat","1"
"pm25_iqr",-0.0128943773663347,"(-0.0612, 0.0354)",0.987188398952496,"(0.941, 1.036)",0.600829107396471,"RIGHT","numwf_4cat","2"
"pm25_iqr",-0.0523683551310111,"(-0.1205, 0.0157)",0.948979241080946,"(0.887, 1.016)",0.131690672378975,"RIGHT","numwf_4cat","3"
"pm25_iqr",0.0350641527585518,"(-0.0114, 0.0815)",1.03568614879188,"(0.989, 1.085)",0.138766477984957,"RIGHT","areawf_3cat","0"
"pm25_iqr",0.0248235680711471,"(-0.0287, 0.0783)",1.02513423815721,"(0.972, 1.081)",0.363203984308042,"RIGHT","areawf_3cat","1"
"pm25_iqr",-0.0239624740439637,"(-0.0594, 0.0114)",0.976322346499943,"(0.942, 1.011)",0.184556119086982,"RIGHT","areawf_3cat","2"
"pm25_iqr",0.0350641527585518,"(-0.0114, 0.0815)",1.03568614879188,"(0.989, 1.085)",0.138766477984957,"RIGHT","areawf_4cat","0"
"pm25_iqr",0.0907845907482201,"(-0.0044, 0.186)",1.09503309959059,"(0.996, 1.204)",0.0615333484069262,"RIGHT","areawf_4cat","1"
"pm25_iqr",0.0346539449327802,"(-0.0157, 0.085)",1.03526138935439,"(0.984, 1.089)",0.177189037126466,"RIGHT","areawf_4cat","2"
"pm25_iqr",-0.0240491049185615,"(-0.0685, 0.0204)",0.976237770504675,"(0.934, 1.021)",0.288627919948144,"RIGHT","areawf_4cat","3"
"pm25_iqr",0.00429683269084092,"(-0.0414, 0.05)",1.00430607731255,"(0.959, 1.051)",0.853795418150077,"RECTUM","popwf_3cat","0"
"pm25_iqr",-0.0232984784389011,"(-0.0479, 0.0013)",0.976970835520247,"(0.953, 1.001)",0.063306427223722,"RECTUM","popwf_3cat","1"
"pm25_iqr",0.0490414216504866,"(-0.0894, 0.1875)",1.0502638535013,"(0.914, 1.206)",0.487609774535143,"RECTUM","popwf_3cat","2"
"pm25_iqr",0.00429683269084092,"(-0.0414, 0.05)",1.00430607731255,"(0.959, 1.051)",0.853795418150077,"RECTUM","popwf_4cat","0"
"pm25_iqr",-0.0156613340906902,"(-0.0475, 0.0162)",0.984460666872424,"(0.954, 1.016)",0.334787593973739,"RECTUM","popwf_4cat","1"
"pm25_iqr",-0.0459498760418788,"(-0.1105, 0.0186)",0.955089833873781,"(0.895, 1.019)",0.16322217926084,"RECTUM","popwf_4cat","2"
"pm25_iqr",0.0899681287505018,"(-0.1311, 0.311)",1.09413941155933,"(0.877, 1.365)",0.424980938321501,"RECTUM","popwf_4cat","3"
"pm25_iqr",0.00429683269084092,"(-0.0414, 0.05)",1.00430607731255,"(0.959, 1.051)",0.853795418150077,"RECTUM","numwf_3cat","0"
"pm25_iqr",-0.00966762587717799,"(-0.0587, 0.0394)",0.990378955386938,"(0.943, 1.04)",0.699449983780615,"RECTUM","numwf_3cat","1"
"pm25_iqr",-0.0261616240752794,"(-0.0563, 0.004)",0.974177626326151,"(0.945, 1.004)",0.0886153191264979,"RECTUM","numwf_3cat","2"
"pm25_iqr",0.00429683269084092,"(-0.0414, 0.05)",1.00430607731255,"(0.959, 1.051)",0.853795418150077,"RECTUM","numwf_4cat","0"
"pm25_iqr",0.0396873509265009,"(-0.0403, 0.1196)",1.04048541653218,"(0.961, 1.127)",0.33059649129108,"RECTUM","numwf_4cat","1"
"pm25_iqr",0.00849949642663408,"(-0.0352, 0.0522)",1.00853571970018,"(0.965, 1.054)",0.703204472658853,"RECTUM","numwf_4cat","2"
"pm25_iqr",-0.0291755733437187,"(-0.0839, 0.0256)",0.97124592460136,"(0.92, 1.026)",0.296084321377915,"RECTUM","numwf_4cat","3"
"pm25_iqr",0.00429683269084092,"(-0.0414, 0.05)",1.00430607731255,"(0.959, 1.051)",0.853795418150077,"RECTUM","areawf_3cat","0"
"pm25_iqr",-0.00730848950314144,"(-0.0544, 0.0398)",0.992718152562339,"(0.947, 1.041)",0.761054280349138,"RECTUM","areawf_3cat","1"
"pm25_iqr",-0.0197533911977515,"(-0.0492, 0.0097)",0.980440428735828,"(0.952, 1.01)",0.188599219945984,"RECTUM","areawf_3cat","2"
"pm25_iqr",0.00429683269084092,"(-0.0414, 0.05)",1.00430607731255,"(0.959, 1.051)",0.853795418150077,"RECTUM","areawf_4cat","0"
"pm25_iqr",0.0781354217094966,"(-0.0085, 0.1648)",1.08126907606252,"(0.991, 1.179)",0.0772837322413323,"RECTUM","areawf_4cat","1"
"pm25_iqr",-0.0248651128126533,"(-0.0708, 0.0211)",0.975441477712221,"(0.932, 1.021)",0.288769209392375,"RECTUM","areawf_4cat","2"
"pm25_iqr",-0.041404611554807,"(-0.079, -0.0038)",0.959440850547645,"(0.924, 0.996)",0.0309691143363067,"RECTUM","areawf_4cat","3"
"pm25_iqr",-0.0205903866619168,"(-0.0966, 0.0554)",0.979620147877659,"(0.908, 1.057)",0.595445007662173,"OTHER","popwf_3cat","0"
"pm25_iqr",-0.00865137431895955,"(-0.0517, 0.0344)",0.991385941132328,"(0.95, 1.035)",0.693493349736598,"OTHER","popwf_3cat","1"
"pm25_iqr",0.121449155440881,"(-0.1129, 0.3558)",1.12913195424923,"(0.893, 1.427)",0.309742147360293,"OTHER","popwf_3cat","2"
"pm25_iqr",-0.0205903866619168,"(-0.0966, 0.0554)",0.979620147877659,"(0.908, 1.057)",0.595445007662173,"OTHER","popwf_4cat","0"
"pm25_iqr",0.0397727397908576,"(-0.0159, 0.0955)",1.04057426619361,"(0.984, 1.1)",0.161808738724367,"OTHER","popwf_4cat","1"
"pm25_iqr",-0.0406049231846379,"(-0.1537, 0.0725)",0.960208411101412,"(0.858, 1.075)",0.481641564377009,"OTHER","popwf_4cat","2"
"pm25_iqr",0.546269034647203,"(0.1534, 0.9391)",1.72679835945102,"(1.166, 2.558)",0.00642344669243916,"OTHER","popwf_4cat","3"
"pm25_iqr",-0.0205903866619168,"(-0.0966, 0.0554)",0.979620147877659,"(0.908, 1.057)",0.595445007662173,"OTHER","numwf_3cat","0"
"pm25_iqr",-0.00435379949222481,"(-0.0946, 0.0859)",0.995655664552951,"(0.91, 1.09)",0.924669439610757,"OTHER","numwf_3cat","1"
"pm25_iqr",-0.0327690726843832,"(-0.0859, 0.0203)",0.96776201647151,"(0.918, 1.021)",0.226582024381083,"OTHER","numwf_3cat","2"
"pm25_iqr",-0.0205903866619168,"(-0.0966, 0.0554)",0.979620147877659,"(0.908, 1.057)",0.595445007662173,"OTHER","numwf_4cat","0"
"pm25_iqr",0.0519817698553363,"(-0.0956, 0.1996)",1.05335653949623,"(0.909, 1.221)",0.490001247005637,"OTHER","numwf_4cat","1"
"pm25_iqr",0.0200219081041797,"(-0.0605, 0.1006)",1.02022369094883,"(0.941, 1.106)",0.626135473613968,"OTHER","numwf_4cat","2"
"pm25_iqr",0.0383026240154454,"(-0.0481, 0.1247)",1.03904562546413,"(0.953, 1.133)",0.385128950831175,"OTHER","numwf_4cat","3"
"pm25_iqr",-0.0205903866619168,"(-0.0966, 0.0554)",0.979620147877659,"(0.908, 1.057)",0.595445007662173,"OTHER","areawf_3cat","0"
"pm25_iqr",0.0385238968158678,"(-0.0444, 0.1215)",1.03927556343802,"(0.957, 1.129)",0.362626950902547,"OTHER","areawf_3cat","1"
"pm25_iqr",-0.039058175452539,"(-0.0908, 0.0127)",0.961694760491067,"(0.913, 1.013)",0.138809068564026,"OTHER","areawf_3cat","2"
"pm25_iqr",-0.0205903866619168,"(-0.0966, 0.0554)",0.979620147877659,"(0.908, 1.057)",0.595445007662173,"OTHER","areawf_4cat","0"
"pm25_iqr",-0.0257930429303892,"(-0.1921, 0.1405)",0.974536756011138,"(0.825, 1.151)",0.761158774871139,"OTHER","areawf_4cat","1"
"pm25_iqr",0.0469226795277649,"(-0.0339, 0.1278)",1.04804097092395,"(0.967, 1.136)",0.255403491338577,"OTHER","areawf_4cat","2"
"pm25_iqr",-0.0317694144765729,"(-0.0951, 0.0315)",0.968729931425942,"(0.909, 1.032)",0.325165669215064,"OTHER","areawf_4cat","3"
