"term","estimate","ci","estimate_exp","ci_exp","p.value","stage","wf_subset_var","wf_subset_val"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","popwf_3cat","0"
"pm25_iqr",0.0290190230046808,"(-1.4501, 1.5081)",1.02944417741027,"(0.235, 4.518)",0.969325663359691,"insitu","popwf_3cat","1"
"pm25_iqr",-10.0254371431566,"(-55.8537, 35.8028)",4.42596494703646e-05,"(0, 3539712786949063)",0.668095170003398,"insitu","popwf_3cat","2"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","popwf_4cat","0"
"pm25_iqr",1.29117425801994,"(-2.9292, 5.5116)",3.63705489007306,"(0.053, 247.539)",0.548755878669893,"insitu","popwf_4cat","1"
"pm25_iqr",-6.71097558344044,"(-10.693, -2.7289)",0.00121747579581353,"(0, 0.065)",0.000956134482785713,"insitu","popwf_4cat","2"
"pm25_iqr",-0.98612441842937,"(-1.0491, -0.9232)",0.373019560971932,"(0.35, 0.397)",5.037458373701e-207,"insitu","popwf_4cat","3"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","numwf_3cat","0"
"pm25_iqr",3.01569274511299,"(0.4583, 5.5731)",20.403220277106,"(1.581, 263.245)",0.020821757423172,"insitu","numwf_3cat","1"
"pm25_iqr",0.364398631084427,"(-1.4739, 2.2027)",1.4396479882271,"(0.229, 9.049)",0.697633703151053,"insitu","numwf_3cat","2"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","numwf_4cat","0"
"pm25_iqr",20.805513827017,"(-24.5365, 66.1475)",1085725025.47251,"(0, 5.33934073369027e+28)",0.368469125877034,"insitu","numwf_4cat","1"
"pm25_iqr",11.2991684425794,"(2.0021, 20.5962)",80754.4576437105,"(7.405, 880667204.162)",0.0172165992136634,"insitu","numwf_4cat","2"
"pm25_iqr",-1.97220770492901,"(-3.9413, -0.0031)",0.139149316229883,"(0.019, 0.997)",0.0496428771777596,"insitu","numwf_4cat","3"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","areawf_3cat","0"
"pm25_iqr",0.417693639426896,"(-1.9904, 2.8258)",1.51845540826717,"(0.137, 16.874)",0.733882194932232,"insitu","areawf_3cat","1"
"pm25_iqr",0.416721538131069,"(-1.4235, 2.257)",1.51698003302042,"(0.241, 9.554)",0.657161417971492,"insitu","areawf_3cat","2"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","areawf_4cat","0"
"pm25_iqr",38.3542158326018,"(-166.2892, 242.9977)",45396701021896600,"(0, 3.4083173278462e+105)",0.713368477419298,"insitu","areawf_4cat","1"
"pm25_iqr",37.0460533055438,"(-9.7651, 83.8572)",12271468216774780,"(0, 2.62249929213641e+36)",0.120876828750867,"insitu","areawf_4cat","2"
"pm25_iqr",1.18318071969449,"(-1.0582, 3.4245)",3.26474193469355,"(0.347, 30.709)",0.300838954074521,"insitu","areawf_4cat","3"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","popwf_3cat","0"
"pm25_iqr",0.0254998738932388,"(-7e-04, 0.0517)",1.02582777690662,"(0.999, 1.053)",0.0566138947098851,"localized","popwf_3cat","1"
"pm25_iqr",0.160958032629114,"(0.0295, 0.2924)",1.17463567140856,"(1.03, 1.34)",0.0164235244447516,"localized","popwf_3cat","2"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","popwf_4cat","0"
"pm25_iqr",0.0677474053355662,"(0.0345, 0.101)",1.07009497405681,"(1.035, 1.106)",6.64763136647689e-05,"localized","popwf_4cat","1"
"pm25_iqr",-0.0271371116998114,"(-0.0916, 0.0373)",0.973227791458973,"(0.912, 1.038)",0.409439795432425,"localized","popwf_4cat","2"
"pm25_iqr",0.257343228371989,"(0.0449, 0.4698)",1.29348901270589,"(1.046, 1.6)",0.0176071956606435,"localized","popwf_4cat","3"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","numwf_3cat","0"
"pm25_iqr",0.0461024573007243,"(-0.0098, 0.102)",1.04718169687076,"(0.99, 1.107)",0.105722146271653,"localized","numwf_3cat","1"
"pm25_iqr",0.0208175134436892,"(-0.0105, 0.0522)",1.0210357093451,"(0.99, 1.054)",0.192996044471342,"localized","numwf_3cat","2"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","numwf_4cat","0"
"pm25_iqr",0.0969464863485786,"(0.0198, 0.1741)",1.10180141062674,"(1.02, 1.19)",0.0137287824973229,"localized","numwf_4cat","1"
"pm25_iqr",0.0493412912397066,"(0.0065, 0.0922)",1.05057884291714,"(1.007, 1.097)",0.0239201677117849,"localized","numwf_4cat","2"
"pm25_iqr",0.00573240619891727,"(-0.0513, 0.0628)",1.00574886787931,"(0.95, 1.065)",0.843836233949969,"localized","numwf_4cat","3"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","areawf_3cat","0"
"pm25_iqr",0.0613908839564229,"(0.0114, 0.1114)",1.06331446553094,"(1.011, 1.118)",0.016035505354839,"localized","areawf_3cat","1"
"pm25_iqr",0.013177604058912,"(-0.0181, 0.0444)",1.01326481132319,"(0.982, 1.045)",0.408663964099488,"localized","areawf_3cat","2"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","areawf_4cat","0"
"pm25_iqr",0.146594919175797,"(0.0632, 0.23)",1.15788483107639,"(1.065, 1.259)",0.000567937708629518,"localized","areawf_4cat","1"
"pm25_iqr",0.0516332956252775,"(0.0053, 0.0979)",1.05298953583653,"(1.005, 1.103)",0.0288231204543634,"localized","areawf_4cat","2"
"pm25_iqr",0.00383455041004227,"(-0.0349, 0.0426)",1.00384191170454,"(0.966, 1.043)",0.846126244380271,"localized","areawf_4cat","3"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","popwf_3cat","0"
"pm25_iqr",-0.0296293009769503,"(-0.0555, -0.0037)",0.970805343446186,"(0.946, 0.996)",0.0249124685694878,"regional","popwf_3cat","1"
"pm25_iqr",0.0746830877342747,"(-0.0584, 0.2077)",1.07754261029824,"(0.943, 1.231)",0.271209925749892,"regional","popwf_3cat","2"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","popwf_4cat","0"
"pm25_iqr",-0.00451473094488786,"(-0.0379, 0.0288)",0.99549544513302,"(0.963, 1.029)",0.790729971298264,"regional","popwf_4cat","1"
"pm25_iqr",-0.0641495531469893,"(-0.1285, 2e-04)",0.937864728420412,"(0.879, 1)",0.0508219356907751,"regional","popwf_4cat","2"
"pm25_iqr",0.0994167312140435,"(-0.1093, 0.3081)",1.10452649433038,"(0.896, 1.361)",0.350429834060533,"regional","popwf_4cat","3"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","numwf_3cat","0"
"pm25_iqr",-0.0134395278125885,"(-0.0628, 0.0359)",0.986650379420389,"(0.939, 1.037)",0.593768524939174,"regional","numwf_3cat","1"
"pm25_iqr",-0.0298138694394004,"(-0.0619, 0.0023)",0.970626179931084,"(0.94, 1.002)",0.068658959071254,"regional","numwf_3cat","2"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","numwf_4cat","0"
"pm25_iqr",0.0877945087241991,"(0.0093, 0.1662)",1.09176375104977,"(1.009, 1.181)",0.0282847907482287,"regional","numwf_4cat","1"
"pm25_iqr",0.0185039141831029,"(-0.0259, 0.0629)",1.01867617244683,"(0.974, 1.065)",0.414436575110232,"regional","numwf_4cat","2"
"pm25_iqr",-0.044357532324153,"(-0.1037, 0.015)",0.956611876656643,"(0.901, 1.015)",0.142994027222981,"regional","numwf_4cat","3"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","areawf_3cat","0"
"pm25_iqr",-0.00985896437957625,"(-0.0571, 0.0374)",0.990189475888748,"(0.944, 1.038)",0.682581449954588,"regional","areawf_3cat","1"
"pm25_iqr",-0.0371320335134235,"(-0.0686, -0.0057)",0.963548906202541,"(0.934, 0.994)",0.0205628390943619,"regional","areawf_3cat","2"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","areawf_4cat","0"
"pm25_iqr",0.0689696233911999,"(-0.016, 0.154)",1.07140366304409,"(0.984, 1.166)",0.111731231297901,"regional","areawf_4cat","1"
"pm25_iqr",0.00200668635496317,"(-0.0428, 0.0469)",1.00200870109745,"(0.958, 1.048)",0.930125993004474,"regional","areawf_4cat","2"
"pm25_iqr",-0.0457836473637395,"(-0.0855, -0.0061)",0.955248610390609,"(0.918, 0.994)",0.0237298682625888,"regional","areawf_4cat","3"
"pm25_iqr",0.0282266922417331,"(-0.0208, 0.0772)",1.02862884017082,"(0.979, 1.08)",0.258793746053649,"distant","popwf_3cat","0"
"pm25_iqr",-0.0310338397662641,"(-0.0583, -0.0038)",0.969442766804316,"(0.943, 0.996)",0.025553642748695,"distant","popwf_3cat","1"
"pm25_iqr",0.082781025863031,"(-0.0659, 0.2315)",1.08630391004119,"(0.936, 1.26)",0.275259409870776,"distant","popwf_3cat","2"
"pm25_iqr",0.0282266922417331,"(-0.0208, 0.0772)",1.02862884017082,"(0.979, 1.08)",0.258793746053649,"distant","popwf_4cat","0"
"pm25_iqr",-0.0168060040850599,"(-0.0513, 0.0177)",0.983334428994743,"(0.95, 1.018)",0.340030511761453,"distant","popwf_4cat","1"
"pm25_iqr",-0.0633920184212803,"(-0.1383, 0.0115)",0.938575462689165,"(0.871, 1.012)",0.0970933896370228,"distant","popwf_4cat","2"
"pm25_iqr",0.220985280555637,"(-0.0153, 0.4573)",1.24730507079135,"(0.985, 1.58)",0.0667837510201545,"distant","popwf_4cat","3"
"pm25_iqr",0.0282266922417331,"(-0.0208, 0.0772)",1.02862884017082,"(0.979, 1.08)",0.258793746053649,"distant","numwf_3cat","0"
"pm25_iqr",0.0113203714777937,"(-0.0441, 0.0667)",1.01138468935462,"(0.957, 1.069)",0.688922845186373,"distant","numwf_3cat","1"
"pm25_iqr",-0.0497180563050025,"(-0.0831, -0.0163)",0.951497655450684,"(0.92, 0.984)",0.00352660777818898,"distant","numwf_3cat","2"
"pm25_iqr",0.0282266922417331,"(-0.0208, 0.0772)",1.02862884017082,"(0.979, 1.08)",0.258793746053649,"distant","numwf_4cat","0"
"pm25_iqr",0.0403387803067011,"(-0.0487, 0.1294)",1.04116344012045,"(0.952, 1.138)",0.374752907982704,"distant","numwf_4cat","1"
"pm25_iqr",-0.0190189189878518,"(-0.0683, 0.0303)",0.981160799497966,"(0.934, 1.031)",0.449407526297207,"distant","numwf_4cat","2"
"pm25_iqr",-0.0675498930623339,"(-0.1287, -0.0064)",0.934681085350995,"(0.879, 0.994)",0.0302644904694841,"distant","numwf_4cat","3"
"pm25_iqr",0.0282266922417331,"(-0.0208, 0.0772)",1.02862884017082,"(0.979, 1.08)",0.258793746053649,"distant","areawf_3cat","0"
"pm25_iqr",0.00914008397736831,"(-0.0413, 0.0596)",1.00918198209842,"(0.96, 1.061)",0.722447303737006,"distant","areawf_3cat","1"
"pm25_iqr",-0.0446092899061684,"(-0.0775, -0.0117)",0.956371072677034,"(0.925, 0.988)",0.00784744557179571,"distant","areawf_3cat","2"
"pm25_iqr",0.0282266922417331,"(-0.0208, 0.0772)",1.02862884017082,"(0.979, 1.08)",0.258793746053649,"distant","areawf_4cat","0"
"pm25_iqr",0.00828451241027133,"(-0.092, 0.1086)",1.00831892394516,"(0.912, 1.115)",0.871416189854704,"distant","areawf_4cat","1"
"pm25_iqr",-0.0371038286206168,"(-0.0872, 0.013)",0.963576083379418,"(0.916, 1.013)",0.146918362681184,"distant","areawf_4cat","2"
"pm25_iqr",-0.034974034602836,"(-0.0767, 0.0068)",0.965630488911213,"(0.926, 1.007)",0.100802208653244,"distant","areawf_4cat","3"
